string_num,note,hole_type,diameter_mm,plate,hole_x,hole_y,skipped,fiber_hint_dx,fiber_hint_dy
1,C1,tuner,16,-z,112.800000,108.463000,false,0.000000000,-1.000000000
1,C1,nat,6.5,-z,101.700000,231.589600,false,0.000000000,-1.000000000
1,C1,sharp,6.5,-z,101.700000,311.844023,false,0.000000000,-1.000000000
2,D1,tuner,16,+z,130.732000,105.009000,false,0.000000000,-1.000000000
2,D1,nat,6.5,+z,119.632000,226.718538,false,0.000000000,-1.000000000
2,D1,sharp,6.5,+z,119.632000,305.635434,false,0.000000000,-1.000000000
3,E1,tuner,16,-z,148.665000,101.554000,false,0.000000000,-1.000000000
3,E1,nat,6.5,-z,137.565000,221.846533,false,0.000000000,-1.000000000
3,E1,sharp,6.5,-z,137.565000,299.425954,false,0.000000000,-1.000000000
4,F1,tuner,16,+z,166.623000,98.100000,false,0.000000000,-1.000000000
4,F1,nat,6.5,+z,155.523000,216.975472,false,0.000000000,-1.000000000
4,F1,sharp,6.5,+z,155.523000,293.217365,false,0.000000000,-1.000000000
5,G1,tuner,16,-z,182.555000,99.675000,true,0.000000000,-1.000000000
5,G1,nat,6.5,-z,173.455000,216.849751,false,0.000000000,-1.000000000
5,G1,sharp,6.5,-z,173.455000,291.486378,false,0.000000000,-1.000000000
6,A1,tuner,16,+z,200.487000,101.275000,true,0.000000000,-1.000000000
6,A1,nat,6.5,+z,191.387000,216.749031,false,0.000000000,-1.000000000
6,A1,sharp,6.5,+z,191.387000,289.780391,false,0.000000000,-1.000000000
7,B1,tuner,16,-z,218.420000,102.875000,true,0.000000000,-1.000000000
7,B1,nat,6.5,-z,209.320000,216.648310,false,0.000000000,-1.000000000
7,B1,sharp,6.5,-z,209.320000,288.074404,false,0.000000000,-1.000000000
8,C2,tuner,16,+z,236.352000,104.475000,false,0.000000000,-1.000000000
8,C2,nat,6.5,+z,227.252000,216.547589,false,0.000000000,-1.000000000
8,C2,sharp,6.5,+z,227.252000,286.368417,true,0.000000000,-1.000000000
9,D2,tuner,16,-z,254.310000,111.130000,true,0.000000000,-1.000000000
9,D2,nat,6.5,-z,245.210000,221.218154,false,0.000000000,-1.000000000
9,D2,sharp,6.5,-z,245.210000,289.165923,true,0.000000000,-1.000000000
10,E2,tuner,16,+z,272.242000,122.814000,true,0.000000000,-1.000000000
10,E2,nat,6.5,+z,263.142000,230.635462,false,0.000000000,-1.000000000
10,E2,sharp,6.5,+z,263.142000,296.443758,false,0.000000000,-1.000000000
11,F2,tuner,16,-z,290.175000,114.280000,false,0.000000000,-1.000000000
11,F2,nat,6.5,-z,281.075000,220.968116,false,0.000000000,-1.000000000
11,F2,sharp,6.5,-z,281.075000,285.706676,true,0.000000000,-1.000000000
12,G2,tuner,16,+z,308.107000,120.935000,false,0.000000000,-1.000000000
12,G2,nat,6.5,+z,299.007000,225.638680,false,0.000000000,-1.000000000
12,G2,sharp,6.5,+z,299.007000,288.504182,true,0.000000000,-1.000000000
13,A2,tuner,16,-z,325.532000,168.788000,true,0.000000000,-1.000000000
13,A2,nat,6.5,-z,316.432000,269.240552,false,0.000000000,-1.000000000
13,A2,sharp,6.5,-z,316.432000,328.093524,false,0.000000000,-1.000000000
14,B2,tuner,16,+z,342.956000,196.474000,false,0.000000000,-1.000000000
14,B2,nat,6.5,+z,333.856000,293.808826,false,0.000000000,-1.000000000
14,B2,sharp,6.5,+z,333.856000,349.719056,false,0.000000000,-1.000000000
15,C3,tuner,16,-z,360.380000,234.219000,false,0.000000000,-1.000000000
15,C3,nat,6.5,-z,351.280000,327.870016,false,0.000000000,-1.000000000
15,C3,sharp,6.5,-z,351.280000,380.303194,false,0.000000000,-1.000000000
16,D3,tuner,16,+z,377.805000,271.988000,false,0.000000000,-1.000000000
16,D3,nat,6.5,+z,368.705000,361.953916,false,0.000000000,-1.000000000
16,D3,sharp,6.5,+z,368.705000,410.908822,false,0.000000000,-1.000000000
17,E3,tuner,16,-z,394.213000,306.355000,false,0.000000000,-1.000000000
17,E3,nat,6.5,-z,385.113000,392.919419,false,0.000000000,-1.000000000
17,E3,sharp,6.5,-z,385.113000,438.663739,false,0.000000000,-1.000000000
18,F3,tuner,16,+z,410.622000,350.779000,false,0.000000000,-1.000000000
18,F3,nat,6.5,+z,401.522000,433.376006,false,0.000000000,-1.000000000
18,F3,sharp,6.5,+z,401.522000,475.375587,false,0.000000000,-1.000000000
19,G3,tuner,16,-z,427.005000,385.145000,false,0.000000000,-1.000000000
19,G3,nat,6.5,-z,417.905000,464.340565,false,0.000000000,-1.000000000
19,G3,sharp,6.5,-z,417.905000,503.129613,false,0.000000000,-1.000000000
20,A3,tuner,16,+z,442.397000,426.166000,false,0.000000000,-1.000000000
20,A3,nat,6.5,+z,433.297000,501.677868,false,0.000000000,-1.000000000
20,A3,sharp,6.5,+z,433.297000,536.989969,false,0.000000000,-1.000000000
21,B3,tuner,16,-z,457.764000,447.020000,false,0.000000000,-1.000000000
21,B3,nat,6.5,-z,448.664000,519.981404,false,0.000000000,-1.000000000
21,B3,sharp,6.5,-z,448.664000,552.886188,true,0.000000000,-1.000000000
22,C4,tuner,16,+z,473.131000,472.928000,false,0.000000000,-1.000000000
22,C4,nat,6.5,+z,464.031000,543.053935,false,0.000000000,-1.000000000
22,C4,sharp,6.5,+z,464.031000,573.282392,false,0.000000000,-1.000000000
23,D4,tuner,16,-z,488.523000,493.756000,false,0.000000000,-1.000000000
23,D4,nat,6.5,-z,479.423000,561.331527,false,0.000000000,-1.000000000
23,D4,sharp,6.5,-z,479.423000,589.152720,false,0.000000000,-1.000000000
24,E4,tuner,16,+z,503.890000,509.529000,false,0.000000000,-1.000000000
24,E4,nat,6.5,+z,494.790000,574.837891,false,0.000000000,-1.000000000
24,E4,sharp,6.5,+z,494.790000,600.519665,false,0.000000000,-1.000000000
25,F4,tuner,16,-z,519.257000,520.299000,false,0.000000000,-1.000000000
25,F4,nat,6.5,-z,510.157000,583.623399,false,0.000000000,-1.000000000
25,F4,sharp,6.5,-z,510.157000,607.432062,false,0.000000000,-1.000000000
26,G4,tuner,16,+z,534.624000,531.043000,false,0.000000000,-1.000000000
26,G4,nat,6.5,+z,525.524000,592.383019,false,0.000000000,-1.000000000
26,G4,sharp,6.5,+z,525.524000,614.318677,false,0.000000000,-1.000000000
27,A4,tuner,16,-z,548.975000,538.384000,false,0.000000000,-1.000000000
27,A4,nat,6.5,-z,539.875000,598.023243,false,0.000000000,-1.000000000
27,A4,sharp,6.5,-z,539.875000,618.353581,false,0.000000000,-1.000000000
28,B4,tuner,16,+z,563.326000,545.699000,false,0.000000000,-1.000000000
28,B4,nat,6.5,+z,554.226000,603.638981,false,0.000000000,-1.000000000
28,B4,sharp,6.5,+z,554.226000,622.365430,false,0.000000000,-1.000000000
29,C5,tuner,16,-z,577.677000,547.985000,false,0.000000000,-1.000000000
29,C5,nat,6.5,-z,568.577000,604.507920,false,0.000000000,-1.000000000
29,C5,sharp,6.5,-z,568.577000,621.896841,true,0.000000000,-1.000000000
30,D5,tuner,16,+z,592.028000,550.271000,true,0.000000000,-1.000000000
30,D5,nat,6.5,+z,582.928000,605.376859,false,0.000000000,-1.000000000
30,D5,sharp,6.5,+z,582.928000,621.428252,true,0.000000000,-1.000000000
31,E5,tuner,16,-z,606.379000,552.557000,true,0.000000000,-1.000000000
31,E5,nat,6.5,-z,597.279000,606.245854,false,0.000000000,-1.000000000
31,E5,sharp,6.5,-z,597.279000,620.959772,false,0.000000000,-1.000000000
32,F5,tuner,16,+z,620.730000,544.734000,false,0.000000000,-1.000000000
32,F5,nat,6.5,+z,611.630000,597.573167,false,0.000000000,-1.000000000
32,F5,sharp,6.5,+z,611.630000,611.485088,true,0.000000000,-1.000000000
33,G5,tuner,16,-z,635.081000,547.020000,true,0.000000000,-1.000000000
33,G5,nat,6.5,-z,625.981000,598.442105,false,0.000000000,-1.000000000
33,G5,sharp,6.5,-z,625.981000,611.016498,false,0.000000000,-1.000000000
34,A5,tuner,16,+z,648.416000,540.847000,true,0.000000000,-1.000000000
34,A5,nat,6.5,+z,639.316000,591.418128,false,0.000000000,-1.000000000
34,A5,sharp,6.5,+z,639.316000,603.189305,false,0.000000000,-1.000000000
35,B5,tuner,16,-z,661.726000,534.675000,false,0.000000000,-1.000000000
35,B5,nat,6.5,-z,652.626000,584.395038,false,0.000000000,-1.000000000
35,B5,sharp,6.5,-z,652.626000,595.362893,false,0.000000000,-1.000000000
36,C6,tuner,16,+z,675.061000,528.503000,false,0.000000000,-1.000000000
36,C6,nat,6.5,+z,665.961000,577.373351,false,0.000000000,-1.000000000
36,C6,sharp,6.5,+z,665.961000,587.539209,false,0.000000000,-1.000000000
37,D6,tuner,16,-z,688.396000,522.331000,false,0.000000000,-1.000000000
37,D6,nat,6.5,-z,679.296000,570.350261,false,0.000000000,-1.000000000
37,D6,sharp,6.5,-z,679.296000,579.712797,false,0.000000000,-1.000000000
38,E6,tuner,16,+z,701.706000,516.159000,false,0.000000000,-1.000000000
38,E6,nat,6.5,+z,692.606000,563.328574,false,0.000000000,-1.000000000
38,E6,sharp,6.5,+z,692.606000,571.889113,false,0.000000000,-1.000000000
39,F6,tuner,16,-z,715.041000,509.986000,false,0.000000000,-1.000000000
39,F6,nat,6.5,-z,705.941000,556.304541,false,0.000000000,-1.000000000
39,F6,sharp,6.5,-z,705.941000,564.061810,false,0.000000000,-1.000000000
40,G6,tuner,16,+z,728.350000,503.789000,true,0.000000000,-1.000000000
40,G6,nat,6.5,+z,719.250000,549.257854,false,0.000000000,-1.000000000
40,G6,sharp,6.5,+z,719.250000,556.213125,false,0.000000000,-1.000000000
41,A6,tuner,16,-z,741.685000,492.587000,false,0.000000000,-1.000000000
41,A6,nat,6.5,-z,732.585000,537.488535,false,0.000000000,-1.000000000
41,A6,sharp,6.5,-z,732.585000,543.908330,false,0.000000000,-1.000000000
42,B6,tuner,16,+z,755.020000,481.335000,false,0.000000000,-1.000000000
42,B6,nat,6.5,+z,745.920000,525.670564,false,0.000000000,-1.000000000
42,B6,sharp,6.5,+z,745.920000,531.556152,false,0.000000000,-1.000000000
43,C7,tuner,16,-z,768.330000,470.134000,false,0.000000000,-1.000000000
43,C7,nat,6.5,-z,759.230000,513.902133,false,0.000000000,-1.000000000
43,C7,sharp,6.5,-z,759.230000,519.252138,false,0.000000000,-1.000000000
44,D7,tuner,16,+z,781.665000,458.882000,false,0.000000000,-1.000000000
44,D7,nat,6.5,+z,772.565000,502.084162,false,0.000000000,-1.000000000
44,D7,sharp,6.5,+z,772.565000,506.899961,false,0.000000000,-1.000000000
45,E7,tuner,16,-z,794.974000,447.680000,false,0.000000000,-1.000000000
45,E7,nat,6.5,-z,785.874000,490.314843,false,0.000000000,-1.000000000
45,E7,sharp,6.5,-z,785.874000,494.595165,false,0.000000000,-1.000000000
46,F7,tuner,16,+z,808.309000,436.453000,false,0.000000000,-1.000000000
46,F7,nat,6.5,+z,799.209000,478.520469,false,0.000000000,-1.000000000
46,F7,sharp,6.5,+z,799.209000,482.265261,true,0.000000000,-1.000000000
47,G7,tuner,16,-z,821.644000,425.227000,false,0.000000000,-1.000000000
47,G7,nat,6.5,-z,812.544000,466.728441,false,0.000000000,-1.000000000
47,G7,sharp,6.5,-z,812.544000,469.938974,false,0.000000000,-1.000000000
